ubigeo,Provincia,bajo_peso,desnutricion_cronica,anemia,ivia,ide,idh,devengado_actividad,devengado_inversion
Ubigeo,"Región /
Provincia",Número de Provincias 3/,"Población de niños menores de un año
(CENSO 2017)
1a/","Número anual de nacidos vivos con bajo peso según distrito de residencia habitual de la madre (2020)
5/",Total,"Distritos dentro de Meta 4
11/","Índice de Densidad del Estado -IDE
(2017)
12/","Pobreza extrema: Número de habitantes en situación de pobreza extrema 
17b/","Población Ocupada
(2007) 
18/"
040700,ISLAY,NA,674,19,601,1,0.77566789725588303,635.42593967434402,21271
040800,LA UNIÓN,NA,199,14,160,1,0.76596272705412805,3708.7931314176099,5843
050200,CANGALLO,NA,510,37,476,2,0.69027489959142596,11818.9745621397,9509
050100,HUAMANGA,NA,5231,318,4575,12,0.76930924773613196,36618.075838892502,71283
050300,HUANCA SANCOS,NA,109,10,114,NA,0.71718761908378603,2694.2040710175702,3573
050400,HUANTA,NA,1788,105,1865,5,0.70260581168587599,28482.121509744899,27905
050500,LA MAR,NA,1381,74,1321,6,0.67429799111370803,22368.6375834602,26558
050600,LUCANAS,NA,705,45,584,2,0.70251834026524795,9434.6647044749407,23580
050700,PARINACOCHAS,NA,396,27,323,2,0.737773886915015,5765.5153111905001,10001
050800,PÁUCAR DEL SARA SARA,NA,128,3,103,1,0.76065328736912097,1735.93487491204,3869
050900,SUCRE,NA,108,14,121,1,0.72726383932987904,3237.3153605060402,3714
051000,FAJARDO,NA,241,25,201,2,0.71196032041116597,7172.3871463493197,8327
051100,VILCAS HUAMÁN,NA,217,29,185,2,0.689339424428703,6387.2606378037499,5937
080200,ACOMAYO,NA,344,18,304,NA,0.73880669234463103,3800.7727466290098,7633
080300,ANTA,NA,1005,54,968,2,0.71465207799147301,3909.6899700522699,16657
080400,CALCA,NA,1150,74,1049,2,0.71502357400901895,5620.5281987026201,21690
080500,CANAS,NA,504,39,507,6,0.63955235743463301,4125.0099531646101,9128
080600,CANCHIS,NA,1587,87,1385,2,0.74585250163958605,5148.2701328151898,33550
080700,CHUMBIVILCAS,NA,1010,82,963,6,0.65331799991482797,9877.5888359761193,23119
080100,CUSCO,NA,7443,445,6374,6,0.826478607650598,1436.68880891145,154514
080800,ESPINAR,NA,1037,69,910,6,0.652421868403537,3524.8544160688498,22864
080900,LA CONVENCIÓN,NA,2625,125,2429,10,0.68719597789056597,7191.8674724309703,63455
081000,PARURO,NA,398,31,382,3,0.70939412079078201,4540.6254482787399,9028
081100,PAUCARTAMBO,NA,893,54,808,4,0.65369745034229199,11139.832254045001,15491
081200,QUISPICANCHI,NA,1637,91,1670,6,0.69638358937966105,15295.1162728746,26385
081300,URUBAMBA,NA,1054,61,989,2,0.75391675161807803,1726.42646837299,19685
090200,ACOBAMBA,NA,672,86,791,2,0.70180105908421397,7678.0362858194103,15410
090300,ANGARAES,NA,904,59,752,6,0.66366974714814497,9611.1405845478494,10966
090400,CASTROVIRREYNA,NA,241,28,174,8,0.63542009484031203,2876.80898503359,6492
090500,CHURCAMPA,NA,605,54,658,7,0.68477423495088396,8762.4410372849397,13112
090100,HUANCAVELICA,NA,2044,204,1914,11,0.73280600432995202,14727.295549733601,45014
090600,HUAYTARÁ,NA,248,30,171,9,0.61509218283705902,5071.5756680193299,8262
090700,TAYACAJA,NA,1416,112,1439,13,0.70168056941137302,18326.041581854999,30831
110200,CHINCHA,NA,4500,186,3188,7,0.75935805735667505,46.277359842265398,75318
110100,ICA,NA,6527,325,4369,8,0.80904235268799296,114.47821595606101,129962
110400,PALPA,NA,204,6,180,NA,0.76818184392848499,0.34955569220067101,5170
110500,PISCO,NA,3031,150,2279,5,0.75855620806135404,641.58285203630999,45715
170200,MANU,NA,410,9,188,1,0.62488234400312603,22.041299416280399,10166
170300,TAHUAMANU,NA,227,20,187,NA,0.70460202183540599,31.1816828760271,5541
170100,TAMBOPATA,NA,2480,116,1975,2,0.73380312176784601,210.27691102217699,34005
180200,GENERAL SÁNCHEZ CERRO,NA,178,7,119,2,0.65533792757676201,1108.2508087229801,10201
180300,ILO,NA,1065,31,860,3,0.79228493965213198,269.075202563549,26126
180100,MARISCAL NIETO,NA,1170,50,950,2,0.78399322727295595,1573.9191179550201,31645
210200,AZÁNGARO,NA,1761,110,1521,11,0.59792071817903802,25441.6816766337,39030
210300,CARABAYA,NA,1141,82,998,3,0.57553189011310701,10421.994855896701,24576
210400,CHUCUITO,NA,1109,59,894,5,0.58686035788968605,13824.229319249,43840
210500,EL COLLAO,NA,731,26,555,5,0.59119419353288305,9967.8359412733607,31442
210600,HUANCANÉ,NA,687,41,587,5,0.62938499192799102,12759.6627481501,23192
210700,LAMPA,NA,604,46,476,4,0.58239534765744205,6222.2588222577097,13785
210800,MELGAR,NA,981,79,861,4,0.65464325515792898,11842.3856002517,24305
210900,MOHO,NA,177,13,178,2,0.67690933005225995,7032.3833565901596,11279
210100,PUNO,NA,3038,178,2167,13,0.71014612334249605,20386.908112980502,93680
211000,SAN ANTONIO DE PUTINA,NA,430,33,322,2,0.58567592576518002,2995.8058157628002,16360
211100,SAN ROMÁN,NA,5138,272,5109,4,0.71401467607137603,16145.7258262408,90010
211200,SANDIA,NA,801,45,590,5,0.55587316282684196,6292.1428176140298,26380
211300,YUNGUYO,NA,377,22,271,2,0.71867028410793898,5962.2739488238904,19018
230200,CANDARAVE,NA,65,1,28,NA,0.691833353212712,1034.9316081649499,4063
230300,JORGE BASADRE,NA,135,1,74,NA,0.79950029722890004,57.971894079465798,5571
230100,TACNA,NA,4429,175,3419,7,0.77770520763673301,4179.0715774858099,113629
230400,TARATA,NA,73,2,53,NA,0.74102739526049399,1283.1447674419901,4048
